county,tract,c0_mean,c0_high,c1_mean,c1_high,c2_mean,c2_high,c3_mean,c3_high,c4_mean,c4_high,c5_mean,c5_high
"11","40801",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40802",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.1,0.2,0.7
"11","40901",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","40902",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","41000",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","41100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","41200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","41300",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","41400",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","41500",99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,0.9,0.8,1
"11","41600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,0
"11","41700",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,0
"11","41800",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","41900",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","42000",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,0.8
"11","42100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.5
"11","42200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.1,0.9,0.9,1.5
"11","42300",99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.2,0.9,1.9,2,2.9
"11","42400",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0.3
"11","42500",99.9,99.9,99.9,99.9,99.9,0,0,0.8,1.7,2.3,2.3,2.7
"11","42600",0.1,1.6,0.4,1.9,1.9,2.3,2.6,3,3.6,3.7,3.8,3.8
"11","42700",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","42800",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","42900",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","43000",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","43100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,99.9,0
"11","43200",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","43300",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50100",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50202",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50203",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50204",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50301",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50303",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50305",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50306",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50307",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50308",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50400",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,0.7
"11","50500",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"11","50600",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0
"11","50701",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.1,99.9,0.8
"11","50702",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,99.9,0.5
"11","50800",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
